time,ruv_rub,ruv,xlm,xlm_usd,usd_rub,trustlines
11:14:32,0.7374,507439,11814.13,0.3946,80.25,49
11:15:03,0.7374,507439,11814.13,0.3946,80.25,49
11:15:34,0.7374,507439,11814.13,0.3946,80.25,49
11:16:05,0.7374,507439,11814.13,0.3946,80.25,49
11:16:36,0.7373,507439,11814.13,0.3946,80.25,49
11:17:07,0.7373,507439,11814.13,0.3946,80.25,49
11:17:38,0.7376,507439,11814.13,0.3947,80.25,49
11:18:09,0.7376,507439,11814.13,0.3947,80.25,49
11:18:40,0.7376,507439,11814.13,0.3948,80.25,49
